10.0,20.0,20.0
10.0,20.0,40.0
10.0,20.0,40.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,60.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,80.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,20.0,100.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,130.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,160.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,25.0,190.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,30.0,230.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,45.0,270.0
10.0,60.0,310.0
10.0,60.0,310.0
10.0,60.0,310.0
10.0,60.0,310.0
10.0,60.0,310.0
